Year,Spirit,Aquinas,Frequence
1906,9,0,0
1907,23,0,0
1908,21,0,0
1909,37,0,0
1910,20,0,0
1911,40,0,0
1912,29,0,0
1913,43,0,0
1914,43,0,0
1915,52,0,0
1916,29,0,0
1917,55,0,0
1918,28,0,0
1919,36,0,0
1920,25,0,0
1921,15,0,0
1922,20,0,0
1923,29,0,0
1924,21,0,0
1925,32,0,0
1926,34,0,0
1927,42,0,0
1928,37,0,0
1929,36,0,0
1930,25,0,0
1931,35,0,0
1932,45,0,0
1933,21,0,0
1934,21,0,0
1935,36,0,0
1936,23,0,0
1937,32,0,0
1938,26,0,0
1939,37,0,0
1940,37,0,0
1941,53,0,0
1942,41,0,0
1943,73,0,0
1944,70,0,0
1945,56,0,0
1946,67,0,0
1947,57,0,0
1948,91,1,0.01098901099
1949,93,0,0
1950,87,0,0
1951,127,0,0
1952,101,1,0.009900990099
1953,94,0,0
1954,93,0,0
1955,90,0,0
1956,114,0,0
1957,109,1,0.009174311927
1958,104,1,0.009615384615
1959,100,0,0
1960,82,0,0
1961,87,1,0.01149425287
1962,118,0,0
1963,94,0,0
1964,79,0,0
1965,111,0,0
1966,105,1,0.009523809524
1967,66,0,0
1968,82,0,0
1969,124,1,0.008064516129
1970,92,0,0
1971,70,0,0
1972,45,0,0
1973,69,0,0
1974,87,1,0.01149425287
1975,67,0,0
1976,106,2,0.01886792453
1977,94,0,0
1978,115,1,0.008695652174
1979,51,0,0
1980,78,0,0
1981,77,0,0
1982,70,1,0.01428571429
1983,50,0,0
1984,58,0,0
1985,87,0,0
1986,72,2,0.02777777778
1987,67,1,0.01492537313
1988,87,0,0
1989,53,1,0.01886792453
1990,86,0,0
1991,60,2,0.03333333333
1992,101,2,0.0198019802
1993,52,0,0
1994,70,2,0.02857142857
1995,61,1,0.01639344262
1996,80,1,0.0125
1997,59,2,0.03389830508
1998,51,0,0
1999,35,1,0.02857142857
2000,95,1,0.01052631579
2001,112,2,0.01785714286
2002,81,0,0
2003,61,1,0.01639344262
2004,61,1,0.01639344262
2005,52,0,0
2006,57,0,0
2007,67,3,0.0447761194
2008,29,1,0.03448275862
2009,126,1,0.007936507937
2010,69,0,0
2011,78,0,0
2012,48,0,0
2013,67,0,0
2014,53,0,0
2015,46,0,0
