Year,Ari,Spirit,Frequence
1906,0,9,0
1907,0,23,0
1908,0,21,0
1909,0,37,0
1910,0,20,0
1911,1,40,0.025
1912,0,29,0
1913,0,43,0
1914,0,43,0
1915,0,52,0
1916,0,29,0
1917,0,55,0
1918,0,28,0
1919,0,36,0
1920,0,25,0
1921,0,15,0
1922,0,20,0
1923,0,29,0
1924,0,21,0
1925,0,32,0
1926,0,34,0
1927,0,42,0
1928,0,37,0
1929,0,36,0
1930,0,25,0
1931,0,35,0
1932,0,45,0
1933,0,21,0
1934,0,21,0
1935,0,36,0
1936,0,23,0
1937,0,32,0
1938,0,26,0
1939,0,37,0
1940,0,37,0
1941,0,53,0
1942,0,41,0
1943,0,73,0
1944,0,70,0
1945,0,56,0
1946,0,67,0
1947,0,57,0
1948,0,91,0
1949,0,93,0
1950,0,87,0
1951,0,127,0
1952,0,101,0
1953,0,94,0
1954,0,93,0
1955,0,90,0
1956,0,114,0
1957,0,109,0
1958,0,104,0
1959,0,100,0
1960,0,82,0
1961,0,87,0
1962,0,118,0
1963,0,94,0
1964,0,79,0
1965,1,111,0.009009009009
1966,0,105,0
1967,0,66,0
1968,0,82,0
1969,0,124,0
1970,0,92,0
1971,0,70,0
1972,0,45,0
1973,0,69,0
1974,0,87,0
1975,0,67,0
1976,0,106,0
1977,0,94,0
1978,0,115,0
1979,0,51,0
1980,1,78,0.01282051282
1981,0,77,0
1982,0,70,0
1983,0,50,0
1984,0,58,0
1985,0,87,0
1986,0,72,0
1987,0,67,0
1988,0,87,0
1989,0,53,0
1990,0,86,0
1991,0,60,0
1992,0,101,0
1993,0,52,0
1994,2,70,0.02857142857
1995,0,61,0
1996,1,80,0.0125
1997,0,59,0
1998,0,51,0
1999,1,35,0.02857142857
2000,7,95,0.07368421053
2001,0,112,0
2002,0,81,0
2003,1,61,0.01639344262
2004,0,61,0
2005,0,52,0
2006,0,57,0
2007,0,67,0
2008,0,29,0
2009,1,126,0.007936507937
2010,0,69,0
2011,0,78,0
2012,0,48,0
2013,0,67,0
2014,1,53,0.01886792453
2015,1,46,0.02173913043
