Year,Beard,Spirit,Frequence
1906,0,9,0
1907,2,23,0.08695652174
1908,0,21,0
1909,1,37,0.02702702703
1910,1,20,0.05
1911,2,40,0.05
1912,0,29,0
1913,1,43,0.02325581395
1914,0,43,0
1915,1,52,0.01923076923
1916,1,29,0.03448275862
1917,0,55,0
1918,1,28,0.03571428571
1919,2,36,0.05555555556
1920,0,25,0
1921,0,15,0
1922,1,20,0.05
1923,0,29,0
1924,1,21,0.04761904762
1925,1,32,0.03125
1926,3,34,0.08823529412
1927,6,42,0.1428571429
1928,1,37,0.02702702703
1929,0,36,0
1930,1,25,0.04
1931,2,35,0.05714285714
1932,0,45,0
1933,0,21,0
1934,0,21,0
1935,0,36,0
1936,0,23,0
1937,0,32,0
1938,2,26,0.07692307692
1939,1,37,0.02702702703
1940,3,37,0.08108108108
1941,0,53,0
1942,2,41,0.0487804878
1943,3,73,0.04109589041
1944,0,70,0
1945,4,56,0.07142857143
1946,3,67,0.0447761194
1947,2,57,0.0350877193
1948,5,91,0.05494505495
1949,3,93,0.03225806452
1950,2,87,0.02298850575
1951,3,127,0.02362204724
1952,3,101,0.0297029703
1953,2,94,0.02127659574
1954,1,93,0.01075268817
1955,8,90,0.08888888889
1956,6,114,0.05263157895
1957,1,109,0.009174311927
1958,5,104,0.04807692308
1959,3,100,0.03
1960,1,82,0.01219512195
1961,1,87,0.01149425287
1962,1,118,0.008474576271
1963,0,94,0
1964,1,79,0.01265822785
1965,1,111,0.009009009009
1966,1,105,0.009523809524
1967,1,66,0.01515151515
1968,0,82,0
1969,2,124,0.01612903226
1970,3,92,0.03260869565
1971,3,70,0.04285714286
1972,1,45,0.02222222222
1973,2,69,0.02898550725
1974,1,87,0.01149425287
1975,0,67,0
1976,3,106,0.02830188679
1977,1,94,0.01063829787
1978,2,115,0.01739130435
1979,3,51,0.05882352941
1980,1,78,0.01282051282
1981,4,77,0.05194805195
1982,1,70,0.01428571429
1983,0,50,0
1984,2,58,0.03448275862
1985,0,87,0
1986,1,72,0.01388888889
1987,0,67,0
1988,4,87,0.04597701149
1989,1,53,0.01886792453
1990,1,86,0.01162790698
1991,0,60,0
1992,2,101,0.0198019802
1993,1,52,0.01923076923
1994,1,70,0.01428571429
1995,0,61,0
1996,3,80,0.0375
1997,1,59,0.01694915254
1998,1,51,0.01960784314
1999,0,35,0
2000,1,95,0.01052631579
2001,6,112,0.05357142857
2002,2,81,0.02469135802
2003,1,61,0.01639344262
2004,3,61,0.04918032787
2005,2,52,0.03846153846
2006,2,57,0.0350877193
2007,0,67,0
2008,0,29,0
2009,0,126,0
2010,1,69,0.01449275362
2011,1,78,0.01282051282
2012,0,48,0
2013,0,67,0
2014,0,53,0
2015,0,46,0
