Year,Diamond,Spirit,Frequence
1906,0,9,0
1907,0,23,0
1908,1,21,0.04761904762
1909,0,37,0
1910,1,20,0.05
1911,1,40,0.025
1912,0,29,0
1913,0,43,0
1914,1,43,0.02325581395
1915,1,52,0.01923076923
1916,1,29,0.03448275862
1917,1,55,0.01818181818
1918,0,28,0
1919,1,36,0.02777777778
1920,0,25,0
1921,0,15,0
1922,0,20,0
1923,0,29,0
1924,0,21,0
1925,1,32,0.03125
1926,1,34,0.02941176471
1927,0,42,0
1928,0,37,0
1929,0,36,0
1930,0,25,0
1931,1,35,0.02857142857
1932,0,45,0
1933,0,21,0
1934,0,21,0
1935,1,36,0.02777777778
1936,0,23,0
1937,2,32,0.0625
1938,0,26,0
1939,0,37,0
1940,1,37,0.02702702703
1941,2,53,0.03773584906
1942,2,41,0.0487804878
1943,0,73,0
1944,1,70,0.01428571429
1945,3,56,0.05357142857
1946,2,67,0.02985074627
1947,0,57,0
1948,2,91,0.02197802198
1949,1,93,0.01075268817
1950,2,87,0.02298850575
1951,0,127,0
1952,2,101,0.0198019802
1953,1,94,0.01063829787
1954,1,93,0.01075268817
1955,2,90,0.02222222222
1956,3,114,0.02631578947
1957,1,109,0.009174311927
1958,0,104,0
1959,0,100,0
1960,1,82,0.01219512195
1961,0,87,0
1962,2,118,0.01694915254
1963,0,94,0
1964,2,79,0.0253164557
1965,0,111,0
1966,0,105,0
1967,0,66,0
1968,1,82,0.01219512195
1969,0,124,0
1970,0,92,0
1971,0,70,0
1972,0,45,0
1973,0,69,0
1974,0,87,0
1975,0,67,0
1976,0,106,0
1977,0,94,0
1978,0,115,0
1979,0,51,0
1980,0,78,0
1981,0,77,0
1982,0,70,0
1983,0,50,0
1984,0,58,0
1985,1,87,0.01149425287
1986,0,72,0
1987,1,67,0.01492537313
1988,3,87,0.03448275862
1989,0,53,0
1990,0,86,0
1991,1,60,0.01666666667
1992,1,101,0.009900990099
1993,2,52,0.03846153846
1994,2,70,0.02857142857
1995,0,61,0
1996,2,80,0.025
1997,0,59,0
1998,3,51,0.05882352941
1999,0,35,0
2000,0,95,0
2001,1,112,0.008928571429
2002,1,81,0.01234567901
2003,2,61,0.03278688525
2004,0,61,0
2005,1,52,0.01923076923
2006,1,57,0.01754385965
2007,0,67,0
2008,0,29,0
2009,1,126,0.007936507937
2010,0,69,0
2011,1,78,0.01282051282
2012,0,48,0
2013,2,67,0.02985074627
2014,2,53,0.03773584906
2015,0,46,0
