Hegel,Hegel,Spirit,Frequence
1906,0,9,0
1907,1,23,0.04347826087
1908,0,21,0
1909,0,37,0
1910,0,20,0
1911,4,40,0.1
1912,7,29,0.2413793103
1913,3,43,0.06976744186
1914,2,43,0.04651162791
1915,2,52,0.03846153846
1916,5,29,0.1724137931
1917,2,55,0.03636363636
1918,0,28,0
1919,1,36,0.02777777778
1920,0,25,0
1921,2,15,0.1333333333
1922,2,20,0.1
1923,2,29,0.06896551724
1924,0,21,0
1925,1,32,0.03125
1926,3,34,0.08823529412
1927,1,42,0.02380952381
1928,4,37,0.1081081081
1929,2,36,0.05555555556
1930,0,25,0
1931,0,35,0
1932,2,45,0.04444444444
1933,4,21,0.1904761905
1934,0,21,0
1935,2,36,0.05555555556
1936,0,23,0
1937,1,32,0.03125
1938,0,26,0
1939,3,37,0.08108108108
1940,3,37,0.08108108108
1941,3,53,0.05660377358
1942,3,41,0.07317073171
1943,5,73,0.06849315068
1944,5,70,0.07142857143
1945,4,56,0.07142857143
1946,4,67,0.05970149254
1947,2,57,0.0350877193
1948,4,91,0.04395604396
1949,2,93,0.02150537634
1950,1,87,0.01149425287
1951,2,127,0.0157480315
1952,8,101,0.07920792079
1953,4,94,0.04255319149
1954,2,93,0.02150537634
1955,7,90,0.07777777778
1956,4,114,0.0350877193
1957,3,109,0.02752293578
1958,4,104,0.03846153846
1959,3,100,0.03
1960,5,82,0.06097560976
1961,6,87,0.06896551724
1962,4,118,0.03389830508
1963,3,94,0.03191489362
1964,0,79,0
1965,4,111,0.03603603604
1966,9,105,0.08571428571
1967,8,66,0.1212121212
1968,5,82,0.06097560976
1969,9,124,0.07258064516
1970,7,92,0.07608695652
1971,1,70,0.01428571429
1972,1,45,0.02222222222
1973,4,69,0.05797101449
1974,5,87,0.05747126437
1975,1,67,0.01492537313
1976,5,106,0.04716981132
1977,6,94,0.06382978723
1978,4,115,0.0347826087
1979,1,51,0.01960784314
1980,6,78,0.07692307692
1981,2,77,0.02597402597
1982,3,70,0.04285714286
1983,4,50,0.08
1984,4,58,0.06896551724
1985,3,87,0.03448275862
1986,2,72,0.02777777778
1987,5,67,0.07462686567
1988,1,87,0.01149425287
1989,0,53,0
1990,0,86,0
1991,2,60,0.03333333333
1992,8,101,0.07920792079
1993,3,52,0.05769230769
1994,1,70,0.01428571429
1995,1,61,0.01639344262
1996,3,80,0.0375
1997,1,59,0.01694915254
1998,3,51,0.05882352941
1999,1,35,0.02857142857
2000,5,95,0.05263157895
2001,1,112,0.008928571429
2002,2,81,0.02469135802
2003,3,61,0.04918032787
2004,4,61,0.06557377049
2005,7,52,0.1346153846
2006,1,57,0.01754385965
2007,3,67,0.0447761194
2008,0,29,0
2009,4,126,0.03174603175
2010,3,69,0.04347826087
2011,4,78,0.05128205128
2012,1,48,0.02083333333
2013,1,67,0.01492537313
2014,5,53,0.09433962264
2015,1,46,0.02173913043
