Year,macy,Spirit,Frequence
1906,0,9,0
1907,1,23,0.04347826087
1908,1,21,0.04761904762
1909,5,37,0.1351351351
1910,2,20,0.1
1911,9,40,0.225
1912,1,29,0.03448275862
1913,3,43,0.06976744186
1914,1,43,0.02325581395
1915,6,52,0.1153846154
1916,3,29,0.1034482759
1917,18,55,0.3272727273
1918,0,28,0
1919,3,36,0.08333333333
1920,1,25,0.04
1921,0,15,0
1922,0,20,0
1923,5,29,0.1724137931
1924,1,21,0.04761904762
1925,3,32,0.09375
1926,3,34,0.08823529412
1927,1,42,0.02380952381
1928,0,37,0
1929,2,36,0.05555555556
1930,1,25,0.04
1931,1,35,0.02857142857
1932,1,45,0.02222222222
1933,0,21,0
1934,3,21,0.1428571429
1935,4,36,0.1111111111
1936,0,23,0
1937,1,32,0.03125
1938,2,26,0.07692307692
1939,4,37,0.1081081081
1940,3,37,0.08108108108
1941,2,53,0.03773584906
1942,1,41,0.0243902439
1943,3,73,0.04109589041
1944,2,70,0.02857142857
1945,2,56,0.03571428571
1946,4,67,0.05970149254
1947,3,57,0.05263157895
1948,4,91,0.04395604396
1949,5,93,0.05376344086
1950,7,87,0.08045977011
1951,3,127,0.02362204724
1952,8,101,0.07920792079
1953,6,94,0.06382978723
1954,5,93,0.05376344086
1955,4,90,0.04444444444
1956,5,114,0.04385964912
1957,1,109,0.009174311927
1958,2,104,0.01923076923
1959,4,100,0.04
1960,2,82,0.0243902439
1961,1,87,0.01149425287
1962,5,118,0.04237288136
1963,5,94,0.05319148936
1964,1,79,0.01265822785
1965,5,111,0.04504504505
1966,0,105,0
1967,5,66,0.07575757576
1968,6,82,0.07317073171
1969,5,124,0.04032258065
1970,4,92,0.04347826087
1971,3,70,0.04285714286
1972,2,45,0.04444444444
1973,1,69,0.01449275362
1974,5,87,0.05747126437
1975,4,67,0.05970149254
1976,3,106,0.02830188679
1977,4,94,0.04255319149
1978,3,115,0.02608695652
1979,1,51,0.01960784314
1980,5,78,0.0641025641
1981,3,77,0.03896103896
1982,2,70,0.02857142857
1983,3,50,0.06
1984,2,58,0.03448275862
1985,6,87,0.06896551724
1986,4,72,0.05555555556
1987,1,67,0.01492537313
1988,4,87,0.04597701149
1989,5,53,0.09433962264
1990,5,86,0.05813953488
1991,6,60,0.1
1992,16,101,0.1584158416
1993,0,52,0
1994,7,70,0.1
1995,2,61,0.03278688525
1996,9,80,0.1125
1997,5,59,0.08474576271
1998,2,51,0.03921568627
1999,1,35,0.02857142857
2000,2,95,0.02105263158
2001,5,112,0.04464285714
2002,1,81,0.01234567901
2003,2,61,0.03278688525
2004,1,61,0.01639344262
2005,1,52,0.01923076923
2006,1,57,0.01754385965
2007,2,67,0.02985074627
2008,0,29,0
2009,3,126,0.02380952381
2010,3,69,0.04347826087
2011,0,78,0
2012,2,48,0.04166666667
2013,0,67,0
2014,0,53,0
2015,2,46,0.04347826087
