Year,Rugg,Spirit,Frequence
1906,0,9,0
1907,2,23,0.08695652174
1908,1,21,0.04761904762
1909,3,37,0.08108108108
1910,0,20,0
1911,0,40,0
1912,0,29,0
1913,0,43,0
1914,0,43,0
1915,0,52,0
1916,0,29,0
1917,0,55,0
1918,0,28,0
1919,1,36,0.02777777778
1920,0,25,0
1921,1,15,0.06666666667
1922,0,20,0
1923,1,29,0.03448275862
1924,0,21,0
1925,1,32,0.03125
1926,0,34,0
1927,0,42,0
1928,1,37,0.02702702703
1929,0,36,0
1930,0,25,0
1931,0,35,0
1932,1,45,0.02222222222
1933,0,21,0
1934,0,21,0
1935,0,36,0
1936,1,23,0.04347826087
1937,2,32,0.0625
1938,0,26,0
1939,1,37,0.02702702703
1940,0,37,0
1941,0,53,0
1942,4,41,0.09756097561
1943,1,73,0.01369863014
1944,1,70,0.01428571429
1945,2,56,0.03571428571
1946,0,67,0
1947,0,57,0
1948,0,91,0
1949,3,93,0.03225806452
1950,1,87,0.01149425287
1951,3,127,0.02362204724
1952,0,101,0
1953,2,94,0.02127659574
1954,4,93,0.04301075269
1955,2,90,0.02222222222
1956,4,114,0.0350877193
1957,13,109,0.119266055
1958,0,104,0
1959,1,100,0.01
1960,3,82,0.03658536585
1961,0,87,0
1962,2,118,0.01694915254
1963,3,94,0.03191489362
1964,0,79,0
1965,2,111,0.01801801802
1966,3,105,0.02857142857
1967,1,66,0.01515151515
1968,2,82,0.0243902439
1969,0,124,0
1970,1,92,0.01086956522
1971,1,70,0.01428571429
1972,0,45,0
1973,1,69,0.01449275362
1974,2,87,0.02298850575
1975,0,67,0
1976,1,106,0.009433962264
1977,1,94,0.01063829787
1978,2,115,0.01739130435
1979,0,51,0
1980,0,78,0
1981,1,77,0.01298701299
1982,0,70,0
1983,0,50,0
1984,0,58,0
1985,0,87,0
1986,0,72,0
1987,1,67,0.01492537313
1988,2,87,0.02298850575
1989,1,53,0.01886792453
1990,3,86,0.03488372093
1991,0,60,0
1992,0,101,0
1993,1,52,0.01923076923
1994,2,70,0.02857142857
1995,1,61,0.01639344262
1996,3,80,0.0375
1997,0,59,0
1998,1,51,0.01960784314
1999,1,35,0.02857142857
2000,2,95,0.02105263158
2001,0,112,0
2002,8,81,0.0987654321
2003,5,61,0.08196721311
2004,4,61,0.06557377049
2005,3,52,0.05769230769
2006,1,57,0.01754385965
2007,1,67,0.01492537313
2008,2,29,0.06896551724
2009,5,126,0.03968253968
2010,1,69,0.01449275362
2011,2,78,0.02564102564
2012,0,48,0
2013,1,67,0.01492537313
2014,1,53,0.01886792453
2015,0,46,0
